TV Ad Budget ($),Radio Ad Budget ($),Newspaper Ad Budget ($),TV_Share,Radio_Share,Newspaper_Share,Sales_per_Dollar,Total_Ad_Budget,Sales(Units)
230.1,37.8,69.2,68.26%,11.21%,20.53%,0.06555918125185405,337.1,22.1
44.5,39.3,45.1,34.52%,30.49%,34.99%,0.08068269976726145,128.9,10.4
17.2,45.9,69.3,12.99%,34.67%,52.34%,0.0702416918429003,132.4,9.3
151.5,41.3,58.5,60.29%,16.43%,23.28%,0.07361719060883407,251.3,18.5
180.8,10.8,58.4,72.32%,4.32%,23.36%,0.0516,250.0,12.9
8.7,48.9,75.0,6.56%,36.88%,56.56%,0.05429864253393665,132.6,7.2
57.5,32.8,23.5,50.53%,28.82%,20.65%,0.10369068541300529,113.8,11.8
120.2,19.6,11.6,79.39%,12.95%,7.66%,0.08718626155878467,151.4,13.2
8.6,2.1,1.0,73.5%,17.95%,8.55%,0.41025641025641024,11.7,4.8
199.8,2.6,21.2,89.36%,1.16%,9.48%,0.04740608228980322,223.6,10.6
66.1,5.8,24.2,68.78%,6.04%,25.18%,0.08949011446409989,96.1,8.6
214.7,24.0,4.0,88.46%,9.89%,1.65%,0.07169344870210136,242.7,17.4
23.8,35.1,65.9,19.07%,28.12%,52.8%,0.07371794871794872,124.8,9.2
97.5,7.6,7.2,86.82%,6.77%,6.41%,0.08637577916295636,112.3,9.7
204.1,32.9,46.0,72.12%,11.63%,16.25%,0.06713780918727916,283.0,19.0
195.4,47.7,52.9,66.01%,16.11%,17.87%,0.07567567567567567,296.0,22.4
67.8,36.6,114.0,31.04%,16.76%,52.2%,0.05723443223443223,218.4,12.5
281.4,39.6,55.8,74.68%,10.51%,14.81%,0.06475583864118896,376.8,24.4
69.2,20.5,18.3,64.07%,18.98%,16.94%,0.10462962962962964,108.0,11.3
147.3,23.9,19.1,77.4%,12.56%,10.04%,0.0767209668943773,190.3,14.6
218.4,27.7,53.4,72.92%,9.25%,17.83%,0.06010016694490818,299.5,18.0
237.4,5.1,23.5,89.25%,1.92%,8.83%,0.046992481203007516,266.0,12.5
13.2,15.9,49.6,16.77%,20.2%,63.02%,0.07115628970775095,78.7,5.6
228.3,16.9,26.2,84.12%,6.23%,9.65%,0.057111274871039064,271.4,15.5
62.3,12.6,18.3,66.85%,13.52%,19.64%,0.10407725321888411,93.2,9.7
262.9,3.5,19.5,91.96%,1.22%,6.82%,0.04197271773347325,285.9,12.0
142.9,29.3,12.6,77.33%,15.85%,6.82%,0.08116883116883117,184.8,15.0
240.1,16.7,22.9,85.84%,5.97%,8.19%,0.056846621380050054,279.7,15.9
248.8,27.1,22.9,83.27%,9.07%,7.66%,0.06325301204819277,298.8,18.9
70.6,16.0,40.8,55.42%,12.56%,32.03%,0.08241758241758242,127.4,10.5
292.9,28.3,43.2,80.38%,7.77%,11.86%,0.05872667398463227,364.4,21.4
112.9,17.4,38.6,66.84%,10.3%,22.85%,0.0704558910597987,168.9,11.9
97.2,1.5,30.0,75.52%,1.17%,23.31%,0.07459207459207459,128.7,9.6
265.6,20.0,0.3,92.9%,7.0%,0.1%,0.060860440713536204,285.9,17.4
95.7,1.4,7.4,91.58%,1.34%,7.08%,0.09090909090909091,104.5,9.5
290.7,4.1,8.5,95.85%,1.35%,2.8%,0.04220243982855259,303.3,12.8
266.9,43.8,5.0,84.54%,13.87%,1.58%,0.08045612923661705,315.7,25.4
74.7,49.4,45.7,43.99%,29.09%,26.91%,0.08657243816254416,169.8,14.7
43.1,26.7,35.1,41.09%,25.45%,33.46%,0.09628217349857006,104.9,10.1
228.0,37.7,32.0,76.59%,12.66%,10.75%,0.07222035606315083,297.7,21.5
202.5,22.3,31.6,78.98%,8.7%,12.32%,0.06474258970358815,256.4,16.6
177.0,33.4,38.7,71.06%,13.41%,15.54%,0.06864712966680049,249.1,17.1
293.6,27.7,1.8,90.87%,8.57%,0.56%,0.06406685236768801,323.1,20.7
206.9,8.4,26.4,85.6%,3.48%,10.92%,0.05337194869673149,241.7,12.9
25.1,25.7,43.3,26.67%,27.31%,46.01%,0.09032943676939427,94.1,8.5
175.1,22.5,31.5,76.43%,9.82%,13.75%,0.0650371017023134,229.1,14.9
89.7,9.9,35.7,66.3%,7.32%,26.39%,0.07834441980783444,135.3,10.6
239.9,41.5,18.5,79.99%,13.84%,6.17%,0.07735911970656886,299.9,23.2
227.2,15.8,49.9,77.57%,5.39%,17.04%,0.050529190850119504,292.9,14.8
66.9,11.7,36.8,57.97%,10.14%,31.89%,0.08405545927209704,115.4,9.7
199.8,3.1,34.6,84.13%,1.31%,14.57%,0.048,237.5,11.4
100.4,9.6,3.6,88.38%,8.45%,3.17%,0.09419014084507042,113.6,10.7
216.4,41.7,39.6,72.69%,14.01%,13.3%,0.07591535102452134,297.7,22.6
182.6,46.2,58.7,63.51%,16.07%,20.42%,0.07373913043478261,287.5,21.2
262.7,28.8,15.9,85.46%,9.37%,5.17%,0.0657124268054652,307.4,20.2
198.9,49.4,60.0,64.52%,16.02%,19.46%,0.07687317547843009,308.3,23.7
7.3,28.1,41.4,9.51%,36.59%,53.91%,0.07161458333333334,76.8,5.5
136.2,19.2,16.6,79.19%,11.16%,9.65%,0.07674418604651162,172.0,13.2
210.8,49.6,37.7,70.71%,16.64%,12.65%,0.0798389802079839,298.1,23.8
210.7,29.5,9.3,84.45%,11.82%,3.73%,0.07374749498997996,249.5,18.4
53.5,2.0,21.4,69.57%,2.6%,27.83%,0.10533159947984394,76.9,8.1
261.3,42.7,54.7,72.85%,11.9%,15.25%,0.06746584889880122,358.7,24.2
239.3,15.5,27.3,84.83%,5.49%,9.68%,0.055654023395958874,282.1,15.7
102.7,29.6,8.4,72.99%,21.04%,5.97%,0.09950248756218906,140.7,14.0
131.1,42.8,28.9,64.64%,21.1%,14.25%,0.08875739644970414,202.8,18.0
69.0,9.3,0.9,87.12%,11.74%,1.14%,0.11742424242424243,79.2,9.3
31.5,24.6,2.2,54.03%,42.2%,3.77%,0.16295025728987994,58.3,9.5
139.3,14.5,10.2,84.94%,8.84%,6.22%,0.08170731707317073,164.0,13.4
237.4,27.5,11.0,86.05%,9.97%,3.99%,0.06850308082638637,275.9,18.9
216.8,43.9,27.2,75.3%,15.25%,9.45%,0.07745745050364711,287.9,22.3
199.1,30.6,38.7,74.18%,11.4%,14.42%,0.06818181818181819,268.4,18.3
109.8,14.3,31.7,70.47%,9.18%,20.35%,0.07958921694480102,155.8,12.4
26.8,33.0,19.3,33.88%,41.72%,24.4%,0.11125158027812897,79.1,8.8
129.4,5.7,31.3,77.76%,3.43%,18.81%,0.06610576923076923,166.4,11.0
213.4,24.6,13.1,84.99%,9.8%,5.22%,0.0677021107128634,251.1,17.0
16.9,43.7,89.4,11.27%,29.13%,59.6%,0.057999999999999996,150.0,8.7
27.5,1.6,20.7,55.22%,3.21%,41.57%,0.13855421686746988,49.8,6.9
120.5,28.5,14.2,73.84%,17.46%,8.7%,0.08700980392156862,163.2,14.2
5.4,29.9,9.4,12.08%,66.89%,21.03%,0.11856823266219238,44.7,5.3
116.0,7.7,23.1,79.02%,5.25%,15.74%,0.07493188010899182,146.8,11.0
76.4,26.7,22.3,60.93%,21.29%,17.78%,0.09409888357256778,125.4,11.8
239.8,4.1,36.9,85.4%,1.46%,13.14%,0.04380341880341881,280.8,12.3
75.3,20.3,32.5,58.78%,15.85%,25.37%,0.08821233411397347,128.1,11.3
68.4,44.5,35.6,46.06%,29.97%,23.97%,0.09158249158249158,148.5,13.6
213.5,43.0,33.8,73.54%,14.81%,11.64%,0.07475025835342748,290.3,21.7
193.2,18.4,65.7,69.67%,6.64%,23.69%,0.05481428056256761,277.3,15.2
76.3,27.5,16.0,63.69%,22.95%,13.36%,0.1001669449081803,119.8,12.0
110.7,40.6,63.2,51.61%,18.93%,29.46%,0.07459207459207459,214.5,16.0
88.3,25.5,73.4,47.17%,13.62%,39.21%,0.06891025641025642,187.2,12.9
109.8,47.8,51.4,52.54%,22.87%,24.59%,0.07990430622009569,209.0,16.7
134.3,4.9,9.3,90.44%,3.3%,6.26%,0.07542087542087542,148.5,11.2
28.6,1.5,33.0,45.32%,2.38%,52.3%,0.11568938193343899,63.1,7.3
217.7,33.5,59.0,70.18%,10.8%,19.02%,0.06254029658284978,310.2,19.4
250.9,36.5,72.3,69.75%,10.15%,20.1%,0.061718098415346125,359.7,22.2
107.4,14.0,10.9,81.18%,10.58%,8.24%,0.08692365835222977,132.3,11.5
163.3,31.6,52.9,65.9%,12.75%,21.35%,0.0682001614205004,247.8,16.9
197.6,3.5,5.9,95.46%,1.69%,2.85%,0.05652173913043478,207.0,11.7
184.9,21.0,22.0,81.13%,9.21%,9.65%,0.06801228609039052,227.9,15.5
289.7,42.3,51.2,75.6%,11.04%,13.36%,0.0662839248434238,383.2,25.4
135.2,41.7,45.9,60.68%,18.72%,20.6%,0.07719928186714542,222.8,17.2
222.4,4.3,49.8,80.43%,1.56%,18.01%,0.04231464737793852,276.5,11.7
296.4,36.3,100.9,68.36%,8.37%,23.27%,0.05488929889298893,433.6,23.8
280.2,10.1,21.4,89.89%,3.24%,6.87%,0.04748155277510427,311.7,14.8
187.9,17.2,17.9,84.26%,7.71%,8.03%,0.06591928251121076,223.0,14.7
238.2,34.3,5.3,85.75%,12.35%,1.91%,0.07451403887688984,277.8,20.7
137.9,46.4,59.0,56.68%,19.07%,24.25%,0.07891491985203451,243.3,19.2
25.0,11.0,29.7,38.05%,16.74%,45.21%,0.1095890410958904,65.7,7.2
90.4,0.3,23.2,79.37%,0.26%,20.37%,0.07638279192273924,113.9,8.7
13.1,0.4,25.6,33.5%,1.02%,65.47%,0.13554987212276215,39.1,5.3
255.4,26.9,5.5,88.74%,9.35%,1.91%,0.06879777623349548,287.8,19.8
225.8,8.2,56.5,77.73%,2.82%,19.45%,0.04612736660929432,290.5,13.4
241.7,38.0,23.2,79.8%,12.55%,7.66%,0.0719709475074282,302.9,21.8
175.7,15.4,2.4,90.8%,7.96%,1.24%,0.07286821705426356,193.5,14.1
209.6,20.6,10.7,87.01%,8.55%,4.44%,0.0660024906600249,240.9,15.9
78.2,46.8,34.5,49.03%,29.34%,21.63%,0.09153605015673981,159.5,14.6
75.1,35.0,52.7,46.13%,21.5%,32.37%,0.07739557739557738,162.8,12.6
139.2,14.3,25.6,77.72%,7.98%,14.29%,0.06811836962590731,179.1,12.2
76.4,0.8,14.8,83.04%,0.87%,16.09%,0.10217391304347827,92.0,9.4
125.7,36.9,79.2,51.99%,15.26%,32.75%,0.06575682382133995,241.8,15.9
19.4,16.0,22.3,33.62%,27.73%,38.65%,0.1143847487001733,57.7,6.6
141.3,26.8,46.2,65.94%,12.51%,21.56%,0.07232851143257116,214.3,15.5
18.8,21.7,50.4,20.68%,23.87%,55.45%,0.077007700770077,90.9,7.0
224.0,2.4,15.6,92.56%,0.99%,6.45%,0.04793388429752066,242.0,11.6
123.1,34.6,12.4,72.37%,20.34%,7.29%,0.08935920047031158,170.1,15.2
229.5,32.3,74.2,68.3%,9.61%,22.08%,0.05863095238095238,336.0,19.7
87.2,11.8,25.9,69.82%,9.45%,20.74%,0.08486789431545236,124.9,10.6
7.8,38.9,50.6,8.02%,39.98%,52.0%,0.06783144912641316,97.3,6.6
80.2,0.0,9.2,89.71%,0.0%,10.29%,0.09843400447427293,89.4,8.8
220.3,49.0,3.2,80.84%,17.98%,1.17%,0.09064220183486238,272.5,24.7
59.6,12.0,43.1,51.96%,10.46%,37.58%,0.08456843940714907,114.7,9.7
0.7,39.6,8.7,1.43%,80.82%,17.76%,0.0326530612244898,49.0,1.6
265.2,2.9,43.0,85.25%,0.93%,13.82%,0.04082288653166184,311.1,12.7
8.4,27.2,2.1,22.28%,72.15%,5.57%,0.15119363395225463,37.7,5.7
219.8,33.5,45.1,73.66%,11.23%,15.11%,0.06568364611260055,298.4,19.6
36.9,38.6,65.6,26.15%,27.36%,46.49%,0.07654145995747698,141.1,10.8
48.3,47.0,8.5,46.53%,45.28%,8.19%,0.11175337186897881,103.8,11.6
25.6,39.0,9.3,34.64%,52.77%,12.58%,0.12855209742895804,73.9,9.5
273.7,28.9,59.7,75.55%,7.98%,16.48%,0.05741098537123931,362.3,20.8
43.0,25.9,20.5,48.1%,28.97%,22.93%,0.10738255033557045,89.4,9.6
184.9,43.9,1.7,80.22%,19.05%,0.74%,0.08980477223427331,230.5,20.7
73.4,17.0,12.9,71.06%,16.46%,12.49%,0.10551790900290417,103.3,10.9
193.7,35.4,75.6,63.57%,11.62%,24.81%,0.06301279947489334,304.7,19.2
220.5,33.2,37.9,75.62%,11.39%,13.0%,0.06893004115226338,291.6,20.1
104.6,5.7,34.4,72.29%,3.94%,23.77%,0.07187284035936421,144.7,10.4
96.2,14.8,38.9,64.18%,9.87%,25.95%,0.07605070046697798,149.9,11.4
140.3,1.9,9.0,92.79%,1.26%,5.95%,0.06812169312169312,151.2,10.3
240.1,7.3,8.7,93.75%,2.85%,3.4%,0.05154236626317844,256.1,13.2
243.2,49.0,44.3,72.27%,14.56%,13.16%,0.07548291233283803,336.5,25.4
38.0,40.3,11.9,42.13%,44.68%,13.19%,0.12084257206208426,90.2,10.9
44.7,25.8,20.6,49.07%,28.32%,22.61%,0.11086717892425905,91.1,10.1
280.7,13.9,37.0,84.65%,4.19%,11.16%,0.0485524728588661,331.6,16.1
121.0,8.4,48.7,67.94%,4.72%,27.34%,0.06513194834362718,178.1,11.6
197.6,23.3,14.2,84.05%,9.91%,6.04%,0.0706082518077414,235.1,16.6
171.3,39.7,37.7,68.88%,15.96%,15.16%,0.07639726578206675,248.7,19.0
187.8,21.1,9.5,85.99%,9.66%,4.35%,0.07142857142857142,218.4,15.6
4.1,11.6,5.7,19.16%,54.21%,26.64%,0.14953271028037385,21.4,3.2
93.9,43.5,50.5,49.97%,23.15%,26.88%,0.0814262905800958,187.9,15.3
149.8,1.3,24.3,85.4%,0.74%,13.85%,0.05758266818700113,175.4,10.1
11.7,36.9,45.2,12.47%,39.34%,48.19%,0.07782515991471216,93.8,7.3
131.7,18.4,34.6,71.3%,9.96%,18.73%,0.06984298863021116,184.7,12.9
172.5,18.1,30.7,77.95%,8.18%,13.87%,0.06507004066877542,221.3,14.4
85.7,35.8,49.3,50.18%,20.96%,28.86%,0.0778688524590164,170.8,13.3
188.4,18.1,25.6,81.17%,7.8%,11.03%,0.06419646704006894,232.1,14.9
163.5,36.8,7.4,78.72%,17.72%,3.56%,0.08666345690900337,207.7,18.0
117.2,14.7,5.4,85.36%,10.71%,3.93%,0.08667152221412965,137.3,11.9
234.5,3.4,84.8,72.67%,1.05%,26.28%,0.036876355748373106,322.7,11.9
17.9,37.6,21.6,23.22%,48.77%,28.02%,0.10376134889753567,77.1,8.0
206.8,5.2,19.4,89.37%,2.25%,8.38%,0.052722558340535866,231.4,12.2
215.4,23.6,57.6,72.62%,7.96%,19.42%,0.0576534052596089,296.6,17.1
284.3,10.6,6.4,94.36%,3.52%,2.12%,0.04978426817125788,301.3,15.0
50.0,11.6,18.4,62.5%,14.5%,23.0%,0.10500000000000001,80.0,8.4
164.5,20.9,47.4,70.66%,8.98%,20.36%,0.06228522336769759,232.8,14.5
19.6,20.1,17.0,34.57%,35.45%,29.98%,0.13403880070546736,56.7,7.6
168.4,7.1,12.8,89.43%,3.77%,6.8%,0.06213489113117365,188.3,11.7
222.4,3.4,13.1,93.09%,1.42%,5.48%,0.04813729593972373,238.9,11.5
276.9,48.9,41.8,75.33%,13.3%,11.37%,0.07344940152339499,367.6,27.0
248.4,30.2,20.3,83.1%,10.1%,6.79%,0.06758113081298094,298.9,20.2
170.2,7.8,35.2,79.83%,3.66%,16.51%,0.054878048780487805,213.2,11.7
276.7,2.3,23.7,91.41%,0.76%,7.83%,0.03898249091509746,302.7,11.8
165.6,10.0,17.6,85.71%,5.18%,9.11%,0.06521739130434782,193.2,12.6
156.6,2.6,8.3,93.49%,1.55%,4.96%,0.0626865671641791,167.5,10.5
218.5,5.4,27.4,86.95%,2.15%,10.9%,0.0485475527258257,251.3,12.2
56.2,5.7,29.7,61.35%,6.22%,32.42%,0.09497816593886463,91.6,8.7
287.6,43.0,71.8,71.47%,10.69%,17.84%,0.06510934393638171,402.4,26.2
253.8,21.3,30.0,83.19%,6.98%,9.83%,0.057686004588659454,305.1,17.6
205.0,45.1,19.6,76.01%,16.72%,7.27%,0.08379681127178347,269.7,22.6
139.5,2.1,26.6,82.94%,1.25%,15.81%,0.06123662306777646,168.2,10.3
191.1,28.7,18.2,80.29%,12.06%,7.65%,0.0726890756302521,238.0,17.3
286.0,13.9,3.7,94.2%,4.58%,1.22%,0.05237154150197628,303.6,15.9
18.7,12.1,23.4,34.5%,22.32%,43.17%,0.12361623616236161,54.2,6.7
39.5,41.1,5.8,45.72%,47.57%,6.71%,0.125,86.4,10.8
75.5,10.8,6.0,81.8%,11.7%,6.5%,0.10725893824485375,92.3,9.9
17.2,4.1,31.6,32.51%,7.75%,59.74%,0.111531190926276,52.9,5.9
166.8,42.0,3.6,78.53%,19.77%,1.69%,0.09227871939736347,212.4,19.6
149.7,35.6,6.0,78.25%,18.61%,3.14%,0.09043387349712494,191.3,17.3
38.2,3.7,13.8,68.58%,6.64%,24.78%,0.1364452423698384,55.7,7.6
94.2,4.9,8.1,87.87%,4.57%,7.56%,0.09048507462686567,107.2,9.7
177.0,9.3,6.4,91.85%,4.83%,3.32%,0.06642449403217437,192.7,12.8
283.6,42.0,66.2,72.38%,10.72%,16.9%,0.06508422664624808,391.8,25.5
232.1,8.6,8.7,93.06%,3.45%,3.49%,0.053728949478749,249.4,13.4
